Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630376449461,0401E411,true,Rx,0,7,00,01,01,00,00,00,00,00,
-1762630376449333,0401E411,true,Rx,0,7,01,01,03,00,00,00,00,00,
-1762630376449162,0401E451,true,Rx,0,8,01,33,72,FE,FF,FF,00,00,
-1762630376449034,0401E451,true,Rx,0,8,00,33,4B,FF,FF,FF,00,00,
-1762630376445749,040A2011,true,Rx,0,8,E9,FF,F7,FF,D3,03,36,8E,
-1762630376445621,04056411,true,Rx,0,8,F8,FF,04,00,06,FD,36,8E,
-1762630376444170,040A2012,true,Rx,0,8,0E,00,FA,FF,EC,03,37,8E,
-1762630376444042,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,37,8E,
-1762630376439904,0401E412,true,Rx,0,7,00,01,00,00,00,00,00,00,
-1762630376439776,0401E412,true,Rx,0,7,01,01,FF,FF,00,00,00,00,
-1762630376439605,0401E452,true,Rx,0,8,01,3C,C9,F5,FF,FF,00,00,
-1762630376439477,0401E452,true,Rx,0,8,00,3C,44,F5,FF,FF,00,00,
-1762630423129451,0401E411,true,Rx,0,7,00,01,FF,FF,00,00,00,00,
-1762630423129323,0401E411,true,Rx,0,7,01,01,02,00,00,00,00,00,
-1762630423129152,0401E451,true,Rx,0,8,01,47,72,FE,FF,FF,00,00,
-1762630423129024,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630423128939,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630423128768,0401E451,true,Rx,0,8,00,47,4B,FF,FF,FF,00,00,
-1762630423125739,040A2011,true,Rx,0,8,E9,FF,F6,FF,CF,03,4A,8E,
-1762630423125611,04056411,true,Rx,0,8,F8,FF,04,00,06,FD,4A,8E,
-1762630423124160,040A2012,true,Rx,0,8,0D,00,FA,FF,EB,03,4B,8E,
-1762630423124032,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,4B,8E,
-1762630423123435,0405240A,true,Rx,0,3,FC,FF,00,00,00,00,00,00,
-1762630423121558,0405200C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423119936,0401E412,true,Rx,0,7,00,01,03,00,00,00,00,00,
-1762630423119766,0401E412,true,Rx,0,7,01,01,FF,FF,00,00,00,00,
-1762630423119638,0401E452,true,Rx,0,8,01,50,C9,F5,FF,FF,00,00,
-1762630423119510,0401E452,true,Rx,0,8,00,50,44,F5,FF,FF,00,00,
-1762630423119424,0405200B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630423112342,0405C40F,true,Rx,0,8,00,01,3C,40,94,51,C3,2E,
-1762630423112171,0405C42F,true,Rx,0,8,00,64,ED,29,E6,FF,4F,00,
-1762630423112043,0405C40F,true,Rx,0,8,01,01,E6,3F,A5,51,3E,1D,
-1762630423111915,0405C42F,true,Rx,0,8,01,64,FA,29,77,00,6C,00,
-1762630423111787,0405C52F,true,Rx,0,5,00,F0,FF,1B,00,00,00,00,
-1762630423111617,0405C40F,true,Rx,0,8,02,01,30,41,DE,51,59,D5,
-1762630423111531,0405C42F,true,Rx,0,8,02,64,73,28,F2,FF,61,00,
-1762630423111403,0405C52F,true,Rx,0,5,02,09,00,21,00,00,00,00,
-1762630423111275,0405C52F,true,Rx,0,5,01,AD,FF,E0,FF,00,00,00,
-1762630423110465,0405C410,true,Rx,0,8,00,01,BB,45,DF,87,B5,71,
-1762630423110337,0405C430,true,Rx,0,8,00,64,AC,08,59,FF,0B,FE,
-1762630423110209,0405C410,true,Rx,0,8,01,01,66,4C,CC,87,8D,48,
-1762630423110081,0405C430,true,Rx,0,8,01,64,E7,2B,B3,FE,43,FF,
-1762630423109910,0405C530,true,Rx,0,5,00,99,FF,64,FE,00,00,00,
-1762630423109825,0405C410,true,Rx,0,8,02,01,31,45,C8,89,C1,8A,
-1762630423109654,0405C430,true,Rx,0,8,02,64,84,2D,87,FF,81,FF,
-1762630423109526,0405C530,true,Rx,0,5,02,7C,00,B7,FF,00,00,00,
-1762630423109441,0401E411,true,Rx,0,7,00,01,02,00,00,00,00,00,
-1762630423109270,0401E411,true,Rx,0,7,01,01,02,00,00,00,00,00,
-1762630423109142,0401E451,true,Rx,0,8,01,5B,72,FE,FF,FF,00,00,
-1762630423109014,0401E451,true,Rx,0,8,00,5B,4B,FF,FF,FF,00,00,
-1762630423108886,0405C530,true,Rx,0,5,01,E4,00,4A,00,00,00,00,
