Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762629373416839,040A2012,true,Rx,0,8,28,00,2A,FF,A0,05,5A,84,
-1762629373416711,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762629373416626,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762629373416498,04056412,true,Rx,0,8,F8,FF,14,00,AC,00,5A,84,
-1762629373416370,0401E412,true,Rx,0,7,00,05,14,00,D2,FE,01,00,
-1762629373416242,0401E412,true,Rx,0,7,01,05,04,00,EA,FE,01,00,
-1762629373416114,0401E452,true,Rx,0,8,01,5B,DF,01,00,00,2E,FA,
-1762629373415943,0401E452,true,Rx,0,8,00,5B,ED,FF,FF,FF,B8,F8,
-1762629373415218,040A2011,true,Rx,0,8,8F,FF,0B,00,68,03,5D,84,
-1762629373415047,04056411,true,Rx,0,8,FE,FF,18,00,8F,FD,5D,84,
-1762629373410909,0401E411,true,Rx,0,7,00,05,F1,00,C6,FE,01,00,
-1762629373410781,0401E411,true,Rx,0,7,01,05,05,00,C5,FE,01,00,
-1762629373410653,0401E451,true,Rx,0,8,01,62,91,00,00,00,7D,FA,
-1762629373410525,0401E451,true,Rx,0,8,00,62,99,01,00,00,D3,F8,
-1762629373405192,0401E481,true,Rx,0,4,11,01,D7,FE,00,00,00,00,
-1762629373405064,0401E481,true,Rx,0,4,11,00,D2,FE,00,00,00,00,
-1762629373404978,0401E481,true,Rx,0,4,12,00,82,FE,00,00,00,00,
-1762629373404850,0401E481,true,Rx,0,4,12,01,26,FF,00,00,00,00,
-1762629373402888,0405240A,true,Rx,0,3,07,00,00,00,00,00,00,00,
-1762629373396829,040A2012,true,Rx,0,8,D1,FF,58,00,FE,02,6E,84,
-1762629373396659,04056412,true,Rx,0,8,F9,FF,12,00,AB,00,6E,84,
-1762629373396445,0401E412,true,Rx,0,7,00,05,21,00,C2,FE,01,00,
-1762629373396317,0401E412,true,Rx,0,7,01,05,F9,FF,E0,FE,01,00,
-1762629373396189,0401E452,true,Rx,0,8,01,6F,DB,01,00,00,62,FA,
-1762629373396061,0401E432,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762629373395933,0401E432,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762629373395805,0401E452,true,Rx,0,8,00,6F,E9,FF,FF,FF,88,F8,
-1762629373395165,040A2011,true,Rx,0,8,22,00,C5,FF,52,04,71,84,
-1762629373395037,04056411,true,Rx,0,8,FF,FF,18,00,8F,FD,71,84,
-1762629373394952,04072001,true,Rx,0,4,01,01,01,01,00,00,00,00,
-1762629373391880,0405C40F,true,Rx,0,8,00,01,2A,43,38,1A,DC,F6,
-1762629373391710,0405C42F,true,Rx,0,8,00,64,B7,E0,FD,FF,CA,00,
-1762629373391582,0405C40F,true,Rx,0,8,01,01,E3,43,ED,1A,AA,F6,
-1762629373391411,0405C42F,true,Rx,0,8,01,64,BE,E0,2B,FF,AC,00,
-1762629373391326,0405C52F,true,Rx,0,5,00,71,00,69,00,00,00,00,
-1762629373391198,0405C40F,true,Rx,0,8,02,01,FB,44,5E,1B,A8,F5,
-1762629373391070,0405C42F,true,Rx,0,8,02,64,D2,E0,C8,FF,8C,00,
-1762629373390942,0405C52F,true,Rx,0,5,02,8E,00,3B,00,00,00,00,
-1762629373390814,0401E411,true,Rx,0,7,00,05,D4,00,C6,FE,01,00,
-1762629373390686,0401E411,true,Rx,0,7,01,05,FC,FF,B5,FE,01,00,
-1762629373390558,0401E451,true,Rx,0,8,01,76,8E,00,00,00,96,FA,
-1762629373390430,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762629373390259,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762629373390131,0401E451,true,Rx,0,8,00,76,96,01,00,00,DC,F8,
-1762629373390003,0405C410,true,Rx,0,8,00,01,FD,35,6B,21,B3,0B,
-1762629373389875,0405C430,true,Rx,0,8,00,64,3B,25,0E,FF,F1,01,
-1762629373389704,0405C410,true,Rx,0,8,01,01,73,36,C8,1F,A6,0B,
-1762629373389619,0405C430,true,Rx,0,8,01,64,66,24,15,02,0E,FD,
-1762629373389491,0405C52F,true,Rx,0,5,01,AB,FF,2C,FF,00,00,00,
-1762629373389363,0405C410,true,Rx,0,8,02,01,AE,36,DD,1E,BE,0A,
-1762629373389235,0405C530,true,Rx,0,5,01,77,00,2E,FE,00,00,00,
-1762629373389107,0405C430,true,Rx,0,8,02,64,0A,25,63,01,20,00,
-1762629373388979,0405C530,true,Rx,0,5,02,5B,FE,19,01,00,00,00,
-1762629373388851,0405C530,true,Rx,0,5,00,FF,FE,51,00,00,00,00,
-1762629373386632,04098C31,true,Rx,0,3,00,87,09,00,00,00,00,00,
-1762629373386547,04098C51,true,Rx,0,3,00,A3,01,00,00,00,00,00,
-1762629373385011,0401E481,true,Rx,0,4,11,01,D6,FE,00,00,00,00,
-1762629373384926,0401E481,true,Rx,0,4,11,00,D2,FE,00,00,00,00,
-1762629373384798,0401E481,true,Rx,0,4,12,00,76,FE,00,00,00,00,
-1762629373384713,0401E481,true,Rx,0,4,12,01,32,FF,00,00,00,00,
-1762629373383561,0405280C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762629373382195,0405280B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762629373381129,1C0003FA,true,Rx,0,8,02,FD,1F,00,00,00,00,00,
-1762629373381001,1C0003FA,true,Rx,0,8,00,E2,14,02,01,28,80,33,
-1762629373380873,1C0003FA,true,Rx,0,8,00,00,00,57,69,66,69,42,
-1762629373380745,1C0003FA,true,Rx,0,8,6C,65,44,6F,6E,67,6C,65,
