Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630070346979,04098C31,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630070346893,04098C51,true,Rx,0,3,00,F3,FF,00,00,00,00,00,
-1762630070345101,0405240A,true,Rx,0,3,2F,01,00,00,00,00,00,00,
-1762630070344077,1C0002BA,true,Rx,0,8,02,FD,09,00,06,01,28,80,
-1762630070343949,1C0002BA,true,Rx,0,5,00,1A,16,40,03,00,00,00,
-1762630070343821,1C00015A,true,Rx,0,8,02,FD,09,00,07,01,28,80,
-1762630070343693,1C00015A,true,Rx,0,5,00,D7,16,40,03,00,00,00,
-1762630070342541,1C000355,true,Rx,0,8,02,FD,09,00,06,01,28,80,
-1762630070342456,1C000355,true,Rx,0,5,00,1A,17,1E,03,00,00,00,
-1762630070342285,1C00034A,true,Rx,0,8,02,FD,09,00,07,01,28,80,
-1762630070342200,1C00034A,true,Rx,0,5,00,D7,17,1E,03,00,00,00,
-1762630070338574,0401E412,true,Rx,0,7,00,05,14,00,96,FF,01,00,
-1762630070338446,0401E412,true,Rx,0,7,01,05,19,00,64,FF,01,00,
-1762630070338318,0401E452,true,Rx,0,8,01,B4,F9,F6,FF,FF,AF,FB,
-1762630070338147,0401E452,true,Rx,0,8,00,B4,9E,F6,FF,FF,C1,FC,
-1762630070337080,1C00003A,true,Rx,0,8,02,FD,09,00,0C,01,28,80,
-1762630070336952,1C00003A,true,Rx,0,5,00,A7,16,40,03,00,00,00,
-1762630070336312,0405200E,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630070335502,040A2011,true,Rx,0,8,13,00,F5,FF,7F,03,B7,D7,
-1762630070335374,04056411,true,Rx,0,8,FC,FF,09,00,48,FC,B7,D7,
-1762630070334776,040A2012,true,Rx,0,8,5A,00,69,00,DC,03,B7,D7,
-1762630070334648,04056412,true,Rx,0,8,05,00,0E,00,C0,04,B7,D7,
-1762630070334392,0405200D,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630070334008,1C000341,true,Rx,0,8,02,FD,09,00,0C,01,28,80,
-1762630070333923,1C000341,true,Rx,0,5,00,A7,17,1E,03,00,00,00,
-1762630070332771,1C00017A,true,Rx,0,8,02,FD,09,00,09,01,28,80,
-1762630070332643,0405C40F,true,Rx,0,8,00,01,D1,38,79,37,10,1B,
-1762630070332472,0405C42F,true,Rx,0,8,00,64,38,27,D2,FF,41,00,
-1762630070332344,0405C40F,true,Rx,0,8,01,01,43,3A,91,38,E2,0A,
-1762630070332216,0405C42F,true,Rx,0,8,01,64,13,29,16,00,AD,00,
-1762630070332088,0405C52F,true,Rx,0,5,01,CF,FF,CD,FF,00,00,00,
-1762630070331960,0405C40F,true,Rx,0,8,02,01,13,3D,2F,39,AF,E7,
-1762630070331832,0405C42F,true,Rx,0,8,02,64,DD,21,F8,FF,41,00,
-1762630070331704,0405C52F,true,Rx,0,5,02,1E,00,EC,FF,00,00,00,
-1762630070331619,0405C52F,true,Rx,0,5,00,FE,FF,13,00,00,00,00,
-1762630070331491,1C00017A,true,Rx,0,5,00,75,16,40,03,00,00,00,
-1762630070331150,0401E411,true,Rx,0,7,00,05,12,00,65,FF,01,00,
-1762630070331022,0401E411,true,Rx,0,7,01,05,00,00,B0,FF,01,00,
-1762630070330851,0401E451,true,Rx,0,8,00,BC,71,00,00,00,71,FC,
-1762630070330766,0401E431,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630070330638,0401E431,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630070330467,0401E451,true,Rx,0,8,01,BC,56,FF,FF,FF,CB,FE,
-1762630070330382,0401E481,true,Rx,0,4,11,01,B3,FF,00,00,00,00,
-1762630070330297,0401E481,true,Rx,0,4,11,00,76,FF,00,00,00,00,
-1762630070330169,0401E481,true,Rx,0,4,12,01,71,FF,00,00,00,00,
-1762630070330083,0401E481,true,Rx,0,4,12,00,95,FF,00,00,00,00,
-1762630070329913,0405C410,true,Rx,0,8,00,01,5F,42,E7,59,1A,21,
-1762630070329785,0405C430,true,Rx,0,8,00,64,9A,2B,9F,00,B6,00,
-1762630070329657,0405C410,true,Rx,0,8,01,01,87,42,EA,59,5E,35,
-1762630070329529,0405C430,true,Rx,0,8,01,64,60,2B,CF,FF,4A,01,
-1762630070329401,0405C530,true,Rx,0,5,01,A5,FF,E1,FE,00,00,00,
-1762630070329273,0405C410,true,Rx,0,8,02,01,9C,3C,28,59,0E,3A,
-1762630070329145,0405C430,true,Rx,0,8,02,64,9C,27,1B,00,2C,00,
-1762630070329017,0405C530,true,Rx,0,5,02,7F,FF,B6,FF,00,00,00,
-1762630070328889,0405C530,true,Rx,0,5,00,29,00,5A,00,00,00,00,
-1762630070328761,1C00034B,true,Rx,0,8,02,FD,09,00,09,01,28,80,
-1762630070328633,1C00034B,true,Rx,0,5,00,75,17,1E,03,00,00,00,
-1762630070324067,04072001,true,Rx,0,4,01,00,01,00,00,00,00,00,
-1762630070323086,1C00029A,true,Rx,0,8,02,FD,09,00,08,01,28,80,
-1762630070322958,1C00029A,true,Rx,0,5,00,B8,16,40,03,00,00,00,
